曲线名称	日期	3月	6月	1年	3年	5年	7年	10年	30年
中债商业银行普通债收益率曲线(AAA)	2018-12-28	2.9501	3.3751	3.3721	3.7106	3.9373	4.1583	4.2226	4.5942
中债中短期票据收益率曲线(AAA)	2018-12-28	3.2219	3.5199	3.5885	3.8231	4.0552	4.2636	4.3305
中债国债收益率曲线	2018-12-27	2.7688	2.6503	2.6611	2.9020	3.0010	3.2229	3.2709	3.7456
中债商业银行普通债收益率曲线(AAA)	2018-12-27	3.4459	3.4500	3.5056	3.7512	3.9731	4.1734	4.2377	4.6093
中债中短期票据收益率曲线(AAA)	2018-12-27	3.6329	3.6274	3.7180	3.8589	4.0910	4.2787	4.3456
中债国债收益率曲线	2018-12-26	2.7792	2.6346	2.7001	2.9002	3.0644	3.2480	3.3011	3.7605
中债商业银行普通债收益率曲线(AAA)	2018-12-26	3.5461	3.4500	3.5010	3.7477	3.9842	4.1556	4.2198	4.6368
中债中短期票据收益率曲线(AAA)	2018-12-26	3.6788	3.6194	3.7410	3.8867	4.1021	4.2608	4.3277
中债国债收益率曲线	2018-12-25	2.7951	2.6295	2.7146	2.8972	3.0665	3.2530	3.3113	3.7805
中债商业银行普通债收益率曲线(AAA)	2018-12-25	3.4994	3.4500	3.4705	3.7508	3.9978	4.1592	4.2234	4.6405
中债中短期票据收益率曲线(AAA)	2018-12-25	3.6587	3.5694	3.6879	3.9206	4.1258	4.2644	4.3313
中债国债收益率曲线	2018-12-24	2.7947	2.6058	2.7045	2.8998	3.0657	3.2392	3.3483	3.7805
中债商业银行普通债收益率曲线(AAA)	2018-12-24	3.4301	3.4482	3.4500	3.7408	3.9930	4.1476	4.2050	4.6521
中债中短期票据收益率曲线(AAA)	2018-12-24	3.6091	3.5125	3.6942	3.9016	4.1210	4.2528	4.3129
中债国债收益率曲线	2018-12-21	2.7791	2.6050	2.6806	2.8709	3.0458	3.2382	3.3168	3.7805
中债商业银行普通债收益率曲线(AAA)	2018-12-21	3.3799	3.3761	3.4310	3.7297	3.9863	4.1409	4.1983	4.6454
中债中短期票据收益率曲线(AAA)	2018-12-21	3.4866	3.5125	3.6831	3.9048	4.1210	4.2461	4.3062
中债国债收益率曲线	2018-12-20	2.7277	2.6000	2.6906	2.8772	3.0414	3.2753	3.3003	3.7805
中债商业银行普通债收益率曲线(AAA)	2018-12-20	3.3499	3.3507	3.5047	3.7496	3.9932	4.1540	4.2114	4.6615
中债中短期票据收益率曲线(AAA)	2018-12-20	3.5068	3.5076	3.7090	3.9232	4.1279	4.2592	4.3193
中债国债收益率曲线	2018-12-19	2.6298	2.5608	2.7011	2.9237	3.0582	3.2728	3.3412	3.8007
中债商业银行普通债收益率曲线(AAA)	2018-12-19	3.4002	3.4520	3.5577	3.7830	4.0175	4.1587	4.2336	4.6787
中债中短期票据收益率曲线(AAA)	2018-12-19	3.5190	3.5201	3.7129	3.9516	4.1311	4.2639	4.3415
中债国债收益率曲线	2018-12-18	2.5710	2.5762	2.4861	2.9340	3.0577	3.2926	3.3714	3.8307
中债商业银行普通债收益率曲线(AAA)	2018-12-18	3.4000	3.4487	3.5533	3.7917	4.0444	4.1387	4.2136	4.6837
