,中欧医疗健康混合A,汇添富中证主要消费ETF,国泰纳斯达克100ETF,组合1,组合2
2020-11-09,3.231,3.3554255546835985,2.3583138173302105,2.8568696860069043,2.9815797906712693
2020-11-10,3.169,3.3693372333594924,2.309133489461358,2.8392353614104255,2.94915690760695
2020-11-11,3.067,3.3483627024327602,2.3682669789227164,2.858314840677738,2.9278765604518258
2020-11-12,3.107,3.343868160091318,2.360655737704918,2.852261948898118,2.9371746325987456
2020-11-13,3.1,3.2885781550973823,2.384660421545668,2.836619288321525,2.9244128588810163
2020-11-16,3.123,3.3621316972247985,2.391686182669789,2.8769089399472936,2.9589392932981955
2020-11-17,3.025,3.3211814225583223,2.3747072599531616,2.847944341255742,2.9069628941704946
2020-11-18,2.926,3.299350788328458,2.3530444964871196,2.826197642407789,2.8594650949385256
2020-11-19,2.957,3.3400156952272244,2.367096018735363,2.853555856981294,2.888037237987529
2020-11-20,2.98,3.3626310908182924,2.3618266978922717,2.8622288943552823,2.9014859295701876
2020-11-23,2.964,3.387172718841407,2.3588992974238874,2.8730360081326474,2.903357338755098
2020-11-24,2.952,3.3774702147392457,2.3957845433255267,2.886627379032386,2.908418252688257
2020-11-25,2.893,3.289220232574731,2.408665105386417,2.848942668980574,2.863628445987049
2020-11-26,2.889,3.298780052793037,2.409250585480094,2.8540153191365656,2.8656768794243765
2020-11-27,2.906,3.3295997717057855,2.4297423887587826,2.879671080232284,2.8884473868215226
2020-11-30,2.917,3.2641792109581225,2.4326697892271665,2.8484245000926443,2.871283000061763
2020-12-01,3.011,3.317471641578084,2.4742388758782203,2.895855258728152,2.9342368391521014
2020-12-02,3.011,3.3279589070414497,2.4631147540983607,2.895536830569905,2.93402455371327
2020-12-03,3.068,3.3616323036313047,2.4648711943793913,2.9132517490053482,2.9648344993368987
2020-12-04,3.13,3.4335449810943857,2.473653395784543,2.9535991884394646,3.012399458959643
2020-12-07,3.151,3.4584433188271384,2.4818501170960188,2.970146717961579,3.030431145307719
2020-12-08,3.161,3.4792038239280876,2.4877049180327866,2.983454370980437,3.0426362473202913
2020-12-09,3.114,3.441178568880645,2.4338407494145198,2.937509659147582,2.9963397727650545
2020-12-10,3.175,3.44346151102233,2.4473067915690865,2.945384151295708,3.0219227675304716
2020-12-11,3.159,3.4137832631804237,2.439695550351288,2.926739406765856,3.0041596045105705
2020-12-14,3.228,3.4999643290290363,2.454918032786885,2.9774411809079604,3.0609607872719735
2020-12-15,3.266,3.4886923022044662,2.4841920374707263,2.9864421698375962,3.079628113225064
2020-12-16,3.295,3.524577298994079,2.4953161592505855,3.0099467291223325,3.104964486081555
2020-12-17,3.359,3.5660269672540488,2.5117096018735365,3.038868284563793,3.1455788563758613
2020-12-18,3.34,3.527430976671185,2.507025761124122,3.0172283688976536,3.1248189125984354
2020-12-21,3.407,3.574588000285368,2.5052693208430914,3.0399286605642297,3.1622857737094865
2020-12-22,3.382,3.5638153670542914,2.5064402810304447,3.035127824042368,3.1507518826949115
2020-12-23,3.388,3.5758721552400656,2.499414519906323,3.0376433375731944,3.1544288917154626
2020-12-24,3.414,3.537490190482985,2.503512880562061,3.0205015355225227,3.1516676903483485
2020-12-25,3.476,3.548833559249483,2.5023419203747075,3.025587739812095,3.17572515987473
2020-12-28,3.458,3.6414353998715843,2.5245901639344264,3.0830127819030055,3.2080085212686704
2020-12-29,3.436,3.599272312192338,2.5333723653395785,3.066322338765958,3.189548225843972
2020-12-30,3.481,3.6705429121780693,2.528688524590164,3.0996157183841166,3.2267438122560774
2021-01-04,3.486,3.867518013840337,2.50175644028103,3.1846372270606835,3.285091484707122
2021-01-05,3.548,4.0638510380252555,2.4988290398126463,3.281340038918951,3.3702266926126336
2021-01-06,3.612,4.096097595776557,2.4578454332552697,3.2769715145159135,3.3886476763439424
2021-01-07,3.655,4.149318684454591,2.519320843091335,3.334319763772963,3.4412131758486417
